id,year,pctile,quintile
10.21,3,63,4
10.21,4,66,4
10.21,5,63,4
10.21,6,55,3
10.21,7,68,4
10.21,8,62,4
10.21,9,65,4
10.21,10,56,3
10.21,11,64,4
10.21,12,66,4
10.21,13,64,4
10.21,14,63,4
10.21,15,72,4
10.21,16,59,3
10.21,17,85,5
10.21,18,85,5
10.21,19,84,5
10.21,20,85,5
10.21,21,79,4
10.21,22,69,4
10.21,23,78,4
10.21,24,74,4
10.21,25,46,3
10.21,26,26,2
10.21,29,21,2
10.21,30,20,2
10.21,31,18,1
10.21,32,19,1
10.21,34,22,2
10.21,36,12,1
10.21,38,11,1
10.21,40,41,3
10.21,42,55,3
10.21,44,50,3
10.21,46,47,3
10.176,0,27,2
10.176,1,27,2
10.176,2,26,2
10.176,3,30,2
10.176,5,34,2
10.176,6,25,2
10.176,7,53,3
10.176,8,55,3
10.176,9,20,2
10.176,10,25,2
10.176,11,24,2
10.176,12,22,2
10.176,13,18,1
10.176,14,23,2
10.176,15,19,1
10.176,16,23,2
10.177,0,50,3
10.177,1,36,2
10.177,2,37,2
10.177,3,37,2
10.177,5,36,2
10.177,7,40,3
10.177,9,39,2
10.177,11,57,3
10.177,13,41,3
10.177,15,26,2
10.177,17,19,1
11.1,0,78,4
11.1,1,70,4
11.1,2,84,5
11.1,3,87,5
11.1,4,94,5
11.1,5,96,5
11.1,6,96,5
11.1,7,71,4
11.1,8,76,4
11.1,9,74,4
11.1,10,76,4
11.1,11,81,5
11.1,12,53,3
11.1,13,66,4
11.1,14,61,4
11.1,15,73,4
11.1,16,74,4
11.1,17,65,4
11.1,18,56,3
11.1,19,54,3
11.1,20,52,3
11.1,21,53,3
11.1,22,41,3
11.1,23,59,3
11.1,24,57,3
11.1,25,41,3
11.1,26,44,3
11.1,27,48,3
11.1,28,42,3
11.1,29,23,2
11.2,0,23,2
11.2,2,17,1
11.2,3,1,1
11.2,4,71,4
11.2,6,32,2
11.2,8,32,2
11.2,10,28,2
11.2,12,34,2
11.2,14,53,3
11.2,16,26,2
11.2,18,14,1
11.2,20,13,1
11.3,0,59,3
11.3,1,45,3
11.3,2,65,4
11.3,3,77,4
11.3,4,67,4
11.3,5,56,3
11.3,6,55,3
11.3,7,61,4
11.3,8,73,4
11.3,9,70,4
11.3,10,71,4
11.3,11,75,4
11.3,12,77,4
11.3,13,78,4
11.3,14,81,5
11.3,15,78,4
11.3,16,73,4
11.3,17,47,3
11.3,18,37,2
11.3,20,38,2
11.3,22,37,2
11.3,24,35,2
11.3,26,65,4
11.3,28,62,4
11.3,30,42,3
11.3,32,36,2
11.3,34,34,2
11.3,36,43,3
11.3,38,21,2
13.1,0,83,5
13.1,1,73,4
13.1,2,79,4
13.1,3,84,5
13.1,4,81,5
13.1,5,80,5
13.1,6,85,5
13.1,7,83,5
13.1,8,67,4
13.1,9,83,5
13.1,10,77,4
13.1,11,74,4
13.1,12,77,4
13.1,13,75,4
13.1,14,70,4
13.1,15,86,5
13.1,16,73,4
13.1,17,42,3
13.1,18,60,4
13.1,19,59,3
13.1,20,62,4
13.1,21,76,4
13.1,22,74,4
13.1,23,61,4
13.1,24,66,4
13.1,25,37,2
13.1,26,37,2
13.1,27,41,3
13.1,28,48,3
13.1,29,79,4
13.1,30,45,3
13.1,31,31,2
13.1,32,1,1
13.1,33,35,2
13.1,34,34,2
13.1,35,25,2
13.1,37,27,2
13.1,39,33,2
13.1,41,34,2
13.1,43,24,2
13.1,45,29,2
13.1,47,20,1
13.1,49,21,2
13.4,0,10,1
13.4,1,1,1
13.4,5,50,3
13.4,6,31,2
13.4,7,36,2
13.4,9,64,4
13.4,10,29,2
13.4,11,38,2
13.4,12,71,4
13.4,36,86,5
13.4,38,26,2
13.4,40,20,1
13.4,42,27,2
13.170,0,75,4
13.170,1,78,4
13.170,2,61,4
13.170,3,41,3
13.170,4,71,4
13.170,5,71,4
13.170,6,87,5
13.170,7,83,5
13.170,8,80,4
13.170,9,83,5
13.170,10,77,4
13.170,11,76,4
13.170,12,87,5
13.170,13,89,5
13.170,14,89,5
13.170,15,90,5
13.170,16,97,5
13.170,17,92,5
13.170,18,89,5
13.170,19,92,5
13.170,20,94,5
13.170,21,91,5
13.170,22,92,5
13.170,23,91,5
13.170,24,93,5
13.170,25,94,5
13.170,27,95,5
13.170,29,90,5
13.170,31,74,4
13.170,33,81,5
13.170,35,61,4
13.170,37,68,4
13.170,39,63,4
13.176,0,84,5
13.176,1,64,4
13.176,2,88,5
13.176,3,67,4
13.176,4,92,5
13.176,5,71,4
13.176,6,68,4
13.176,7,86,5
13.176,8,79,4
13.176,9,75,4
13.176,10,81,5
13.176,11,78,4
13.176,12,83,5
13.176,13,86,5
13.176,14,6,1
13.176,15,76,4
13.176,17,55,3
13.176,19,85,5
13.176,21,90,5
13.176,23,86,5
14.4,0,44,3
14.4,1,60,4
14.4,2,55,3
14.4,3,66,4
14.4,4,65,4
14.4,5,63,4
14.4,6,69,4
14.4,7,71,4
14.4,8,77,4
14.4,9,75,4
14.4,10,69,4
14.4,11,72,4
14.4,12,68,4
14.4,13,67,4
14.4,14,68,4
14.4,15,80,4
14.4,17,87,5
14.4,19,72,4
14.4,21,79,4
14.4,23,79,4
14.4,25,76,4
14.4,27,37,2
14.4,29,44,3
16.1,0,29,2
16.1,1,30,2
16.1,2,38,2
16.1,3,43,3
16.1,4,48,3
16.1,5,51,3
16.1,6,49,3
16.1,7,45,3
16.1,8,41,3
16.1,9,64,4
16.1,10,65,4
16.1,11,68,4
16.1,12,68,4
16.1,13,54,3
16.1,14,60,3
16.1,15,84,5
16.1,16,63,4
16.1,17,36,2
16.1,18,47,3
16.1,19,47,3
16.2,0,0,1
16.2,1,6,1
16.2,7,47,3
16.2,14,21,2
16.2,15,15,1
16.2,16,3,1
16.2,17,7,1
16.2,19,8,1
16.2,20,6,1
16.2,21,6,1
16.2,22,6,1
16.2,23,7,1
16.2,25,7,1
16.2,27,3,1
16.2,29,4,1
16.2,31,6,1
16.2,33,1,1
16.2,35,1,1
16.2,37,1,1
16.170,0,48,3
16.170,1,13,1
16.170,2,31,2
16.170,3,47,3
16.170,4,65,4
16.170,5,70,4
16.170,6,68,4
16.170,7,69,4
16.170,8,76,4
16.170,9,66,4
16.170,10,55,3
16.170,11,50,3
16.170,12,56,3
16.170,13,45,3
16.170,14,45,3
16.170,15,45,3
16.170,16,53,3
16.170,17,33,2
16.170,18,46,3
16.170,19,31,2
16.170,20,18,1
16.170,22,48,3
16.172,0,41,3
16.172,1,58,3
16.172,2,64,4
16.172,3,71,4
16.172,4,63,4
16.172,5,61,4
16.172,6,46,3
16.172,7,74,4
16.172,8,55,3
16.172,9,71,4
16.172,10,73,4
16.172,11,61,4
16.172,12,58,3
16.172,13,64,4
16.172,14,69,4
16.172,15,72,4
16.172,16,75,4
16.172,18,74,4
16.172,20,76,4
16.172,22,84,5
16.172,24,67,4
16.172,28,78,4
16.172,30,77,4
16.173,0,12,1
16.173,1,12,1
16.173,2,13,1
16.173,3,13,1
16.173,5,22,2
16.173,7,40,2
16.173,9,36,2
16.173,11,40,2
16.173,15,41,3
16.173,17,52,3
17.1,0,53,3
17.1,1,37,2
17.1,2,51,3
17.1,3,23,2
17.1,4,36,2
17.1,5,38,2
17.1,6,37,2
17.1,7,36,2
17.1,8,31,2
17.1,9,33,2
17.1,10,30,2
17.1,11,35,2
17.1,12,30,2
17.1,13,32,2
17.1,14,33,2
17.1,15,26,2
17.1,16,30,2
17.1,17,22,2
17.1,18,20,2
17.1,19,21,2
17.1,20,21,2
17.1,21,24,2
17.1,22,22,2
17.1,23,23,2
17.1,24,20,2
17.1,25,45,3
17.1,26,7,1
17.1,27,9,1
17.1,28,16,1
17.1,29,17,1
17.1,30,20,2
17.1,31,14,1
17.1,32,12,1
17.1,33,12,1
17.1,35,11,1
17.1,37,14,1
18.1,0,80,5
18.1,1,77,4
18.1,2,88,5
18.1,3,83,5
18.1,4,90,5
18.1,5,74,4
18.1,6,76,4
18.1,7,77,4
18.1,8,69,4
18.1,9,82,5
18.1,10,83,5
18.1,11,78,4
18.1,12,84,5
18.1,13,37,2
18.1,14,43,3
18.1,15,46,3
18.1,16,46,3
18.2,0,46,3
18.2,1,35,2
18.2,2,33,2
18.2,3,30,2
18.2,4,26,2
18.2,5,31,2
18.2,6,17,1
18.2,7,28,2
18.2,8,27,2
18.2,9,28,2
18.2,10,20,1
18.2,11,34,2
18.2,12,38,2
18.2,13,28,2
18.2,14,12,1
18.2,15,15,1
18.2,16,11,1
18.2,17,15,1
18.2,19,14,1
18.2,21,14,1
18.2,23,21,2
18.2,25,14,1
18.2,27,14,1
18.2,29,18,1
18.2,31,18,1
18.2,33,17,1
18.3,0,73,4
18.3,1,75,4
18.3,2,78,4
18.3,3,91,5
18.3,4,89,5
18.3,5,62,4
18.3,6,67,4
18.3,7,54,3
18.3,8,63,4
18.3,9,59,3
18.3,10,75,4
18.3,11,67,4
18.3,12,71,4
18.3,13,63,4
18.3,14,61,4
18.3,15,57,3
18.3,16,76,4
18.3,17,29,2
18.3,18,54,3
18.3,19,50,3
18.3,20,53,3
18.3,21,52,3
18.3,23,54,3
18.3,25,78,4
18.3,27,72,4
18.3,29,65,4
18.3,31,63,4
18.3,33,75,4
18.3,35,70,4
18.4,0,79,4
18.4,1,88,5
18.4,2,66,4
18.4,3,68,4
18.4,4,73,4
18.4,5,73,4
18.4,6,80,4
18.4,7,72,4
18.4,8,68,4
18.4,9,78,4
18.4,10,99,5
18.4,11,89,5
18.4,12,94,5
18.4,13,95,5
18.4,14,65,4
18.4,15,79,4
18.4,16,85,5
18.4,17,45,3
18.4,18,97,5
18.4,19,81,5
18.4,20,96,5
18.4,21,77,4
18.4,22,80,5
18.4,23,88,5
18.4,24,82,5
18.4,26,98,5
18.4,28,97,5
18.4,30,87,5
18.4,32,83,5
18.4,34,85,5
18.4,36,88,5
18.4,38,84,5
18.5,0,65,4
18.5,1,79,4
18.5,2,72,4
18.5,3,55,3
18.5,4,32,2
18.5,5,62,4
18.5,6,50,3
18.5,7,65,4
18.5,8,78,4
18.5,9,80,4
18.5,10,63,4
18.5,11,56,3
18.5,12,67,4
18.5,13,73,4
18.5,14,55,3
18.5,15,52,3
18.5,16,81,5
18.5,17,43,3
18.5,18,38,2
18.5,19,45,3
18.5,20,35,2
18.5,21,47,3
18.5,22,43,3
18.5,23,47,3
18.5,24,33,2
18.5,26,34,2
18.5,28,62,4
18.5,30,25,2
18.5,32,35,2
18.5,34,49,3
18.5,36,44,3
18.5,38,49,3
18.21,0,47,3
18.21,1,47,3
18.21,2,39,2
18.21,3,45,3
18.21,4,47,3
18.21,5,51,3
18.21,6,70,4
18.21,7,83,5
18.21,8,53,3
18.21,9,63,4
18.21,10,71,4
18.21,11,67,4
18.21,12,70,4
18.21,13,78,4
18.21,14,75,4
18.21,15,70,4
18.21,16,71,4
18.21,17,72,4
18.21,18,75,4
18.21,19,87,5
18.21,20,83,5
18.21,21,79,4
18.21,22,75,4
18.21,23,82,5
18.21,24,74,4
18.21,25,66,4
18.21,26,60,4
18.21,27,71,4
18.21,28,65,4
18.21,29,54,3
18.21,30,64,4
18.21,31,31,2
18.21,33,64,4
18.21,35,68,4
18.21,37,72,4
18.21,39,79,4
18.21,41,72,4
18.21,43,67,4
18.21,45,52,3
18.183,0,28,2
18.183,1,39,2
18.183,2,38,2
18.183,3,41,3
18.183,4,39,2
18.183,5,40,3
18.183,6,43,3
18.183,8,56,3
18.183,10,73,4
18.183,12,65,4
18.183,14,85,5
19.1,0,60,4
19.1,1,69,4
19.1,2,57,3
19.1,3,62,4
19.1,4,76,4
19.1,5,94,5
19.1,6,93,5
19.1,7,95,5
19.1,8,71,4
19.1,9,88,5
19.1,10,79,4
19.1,11,85,5
19.1,12,94,5
19.1,13,84,5
19.1,14,92,5
19.1,15,90,5
19.1,16,83,5
19.1,17,76,4
19.1,18,74,4
19.1,19,75,4
19.1,20,79,4
19.1,21,76,4
19.1,22,73,4
19.1,23,74,4
19.1,24,77,4
19.1,25,72,4
19.1,26,69,4
19.1,27,75,4
19.1,28,82,5
19.1,29,70,4
19.1,30,68,4
19.1,31,67,4
19.1,32,71,4
19.1,33,68,4
19.2,0,71,4
19.2,1,68,4
19.2,2,58,3
19.2,3,30,2
19.2,5,25,2
19.2,7,23,2
19.2,9,23,2
19.2,11,26,2
19.2,13,26,2
19.2,15,31,2
19.2,17,28,2
20.1,0,24,2
20.1,1,19,1
20.1,2,26,2
20.1,3,37,2
20.1,4,61,4
20.1,5,59,3
20.1,6,53,3
20.1,7,51,3
20.1,8,55,3
20.1,9,51,3
20.1,10,50,3
20.1,11,47,3
20.1,12,49,3
20.1,13,67,4
22.1,0,41,3
22.1,1,31,2
22.1,2,29,2
22.1,3,45,3
22.1,4,40,2
22.1,5,40,2
22.1,6,51,3
22.1,7,71,4
22.1,8,77,4
22.1,9,40,3
22.1,10,85,5
22.1,11,82,5
22.1,12,45,3
22.1,13,55,3
22.1,14,73,4
22.1,15,46,3
22.2,0,40,2
22.2,1,25,2
22.2,5,75,4
22.2,6,62,4
22.2,7,64,4
22.2,8,71,4
22.2,9,68,4
22.2,10,70,4
22.2,11,69,4
22.2,12,76,4
22.2,13,69,4
22.2,14,65,4
22.2,15,66,4
22.2,16,76,4
22.2,17,35,2
22.2,18,37,2
22.2,19,36,2
22.2,20,41,3
22.2,21,38,2
22.2,22,34,2
22.2,23,28,2
22.2,24,8,1
22.2,25,8,1
22.2,26,8,1
22.2,27,6,1
22.2,28,5,1
22.2,29,5,1
22.2,30,5,1
22.2,31,15,1
22.2,33,5,1
22.2,35,7,1
22.2,37,6,1
22.2,39,8,1
22.2,41,1,1
22.2,43,8,1
22.3,0,40,3
22.3,1,36,2
22.3,2,34,2
22.3,3,29,2
22.3,14,39,2
22.3,15,38,2
22.3,17,18,1
22.3,19,24,2
22.3,21,25,2
22.3,23,45,3
22.3,25,43,3
22.3,27,34,2
22.3,29,37,2
22.4,0,61,4
22.4,1,60,3
22.4,2,33,2
22.4,3,34,2
22.4,4,35,2
22.4,5,67,4
22.4,6,26,2
22.4,7,75,4
22.4,8,63,4
22.4,9,58,3
22.4,10,60,3
22.4,11,62,4
22.4,12,62,4
22.4,13,67,4
22.4,15,77,4
22.4,17,72,4
22.4,19,42,3
22.4,21,5,1
22.4,23,29,2
22.4,25,48,3
22.4,27,68,4
22.173,0,28,2
22.173,1,33,2
22.173,2,40,2
22.173,3,46,3
22.173,4,45,3
22.173,5,43,3
22.173,6,42,3
22.173,7,39,2
22.173,8,51,3
22.173,9,57,3
22.173,11,49,3
22.173,13,51,3
22.173,15,47,3
22.173,17,45,3
22.173,19,51,3
22.173,21,67,4
22.173,23,74,4
22.174,0,77,4
22.174,1,91,5
22.174,2,67,4
22.174,3,44,3
22.174,4,46,3
22.174,5,42,3
22.174,6,25,2
22.174,7,27,2
22.174,8,37,2
22.174,9,40,2
22.174,10,39,2
22.174,11,38,2
23.1,0,84,5
23.1,1,64,4
23.1,2,67,4
23.1,3,69,4
23.1,4,59,3
23.1,5,51,3
23.1,6,43,3
23.1,7,72,4
23.1,8,58,3
23.1,9,25,2
23.1,10,32,2
23.1,11,42,3
23.1,12,37,2
23.1,13,49,3
23.1,14,52,3
23.1,15,49,3
23.1,16,47,3
23.1,17,46,3
23.1,18,38,2
23.1,19,36,2
23.1,20,39,2
23.1,21,36,2
23.1,22,21,2
23.1,23,33,2
23.1,24,32,2
23.1,25,20,1
23.1,26,30,2
23.1,27,26,2
23.1,28,40,2
23.3,0,96,5
23.3,1,69,4
23.3,2,65,4
23.3,3,50,3
23.3,4,55,3
23.3,5,57,3
23.3,6,71,4
23.3,7,67,4
23.3,8,70,4
23.3,9,72,4
23.3,10,74,4
23.3,11,87,5
23.3,12,80,5
23.3,13,69,4
23.3,14,80,5
23.3,16,77,4
23.3,18,79,4
23.3,20,82,5
23.3,22,85,5
23.3,24,75,4
23.3,26,73,4
23.3,28,69,4
23.30,0,15,1
23.30,1,17,1
23.30,2,32,2
23.30,3,47,3
23.30,4,54,3
23.30,5,64,4
23.30,6,65,4
23.30,7,75,4
23.30,8,74,4
23.30,10,77,4
23.30,12,76,4
23.30,14,78,4
23.30,16,79,4
23.30,18,80,4
23.30,20,77,4
23.30,22,76,4
23.31,0,25,2
23.31,1,24,2
23.31,2,1,1
23.31,3,48,3
23.31,4,7,1
23.31,5,11,1
23.31,6,38,2
23.31,7,21,2
23.31,9,65,4
23.31,11,74,4
23.31,13,40,3
23.31,15,63,4
23.31,17,52,3
23.31,19,64,4
23.31,21,65,4
23.170,0,40,3
23.170,1,65,4
23.170,2,50,3
23.170,3,40,2
23.170,4,62,4
23.170,5,66,4
23.170,6,65,4
23.170,7,67,4
23.170,8,74,4
23.170,9,85,5
23.170,10,79,4
23.170,11,75,4
23.170,12,73,4
23.170,13,89,5
23.170,14,93,5
23.170,15,96,5
23.170,16,96,5
25.1,0,50,3
25.1,1,72,4
25.1,2,71,4
25.1,3,67,4
25.1,4,35,2
25.1,5,36,2
25.1,6,34,2
25.1,7,25,2
25.1,8,4,1
25.1,9,21,2
25.1,10,13,1
26.1,0,41,3
26.1,1,26,2
26.1,2,20,1
26.1,3,26,2
26.1,4,29,2
26.1,5,25,2
26.1,6,31,2
26.1,7,30,2
26.1,8,33,2
26.1,9,30,2
26.1,10,27,2
26.1,11,38,2
26.1,12,26,2
26.1,13,19,1
26.1,14,74,4
26.1,15,98,5
26.1,16,90,5
26.1,17,84,5
26.1,18,88,5
26.1,22,16,1
27.1,0,60,3
27.1,1,62,4
27.1,2,57,3
27.1,3,39,2
27.1,4,33,2
27.1,5,34,2
27.1,6,33,2
27.1,7,32,2
27.1,8,32,2
27.1,9,32,2
27.1,10,26,2
