id,year,pctile,quintile
4.1,0,44,3
4.1,1,22,2
4.1,2,37,2
4.1,3,78,4
4.1,4,97,5
4.1,5,78,4
4.1,6,92,5
4.1,7,98,5
4.1,8,98,5
4.1,9,68,4
4.1,10,0,1
4.1,11,52,3
4.1,12,99,5
4.1,13,72,4
4.1,14,91,5
4.1,15,47,3
4.1,16,64,4
4.1,17,49,3
4.1,18,60,3
4.1,19,38,2
4.1,20,40,2
4.1,21,43,3
4.1,22,20,1
4.1,23,30,2
4.1,24,37,2
4.1,25,14,1
4.1,26,7,1
4.1,27,18,1
4.1,28,19,1
4.1,29,13,1
4.1,30,30,2
4.1,31,12,1
4.3,0,55,3
4.3,1,50,3
4.3,2,58,3
4.3,3,60,3
4.3,4,59,3
4.3,5,54,3
4.3,6,56,3
4.3,7,58,3
4.3,8,62,4
4.3,9,54,3
4.3,10,60,3
4.3,11,59,3
4.3,12,57,3
4.3,13,46,3
4.3,14,56,3
4.3,15,70,4
4.3,16,56,3
4.3,17,60,3
4.3,18,73,4
4.3,19,69,4
4.3,20,69,4
4.3,21,68,4
4.3,22,71,4
4.3,23,35,2
4.3,24,58,3
4.3,26,38,2
4.3,28,25,2
4.3,30,76,4
4.3,32,23,2
4.3,34,43,3
4.4,0,45,3
4.4,1,64,4
4.4,2,58,3
4.4,3,44,3
4.4,4,57,3
4.4,6,67,4
4.4,8,98,5
4.4,10,66,4
4.4,12,59,3
4.4,14,93,5
4.6,0,18,1
4.6,1,23,2
4.6,10,19,1
4.6,11,20,1
4.6,12,80,5
4.6,19,83,5
4.6,20,83,5
4.6,22,21,2
4.6,24,8,1
4.6,26,52,3
4.6,28,18,1
4.6,30,53,3
4.6,32,56,3
4.6,34,7,1
4.8,0,37,2
4.8,1,40,3
4.8,2,35,2
4.8,3,24,2
4.8,8,10,1
4.8,9,52,3
4.8,11,39,2
4.8,12,50,3
4.8,13,22,2
4.8,15,42,3
4.8,19,57,3
4.8,21,45,3
4.170,0,42,3
4.170,1,46,3
4.170,2,42,3
4.170,3,18,1
4.170,5,41,3
4.170,6,48,3
4.170,7,51,3
4.170,8,45,3
4.170,9,52,3
4.170,10,47,3
4.170,11,50,3
4.170,12,55,3
4.170,13,74,4
4.170,14,84,5
4.172,0,69,4
4.172,1,62,4
4.172,2,78,4
4.172,3,72,4
4.172,4,58,3
4.172,5,56,3
4.172,6,54,3
4.172,7,67,4
4.172,8,77,4
4.172,9,79,4
4.172,10,68,4
4.172,11,66,4
4.172,12,95,5
4.172,13,92,5
4.172,14,90,5
4.172,15,86,5
4.172,16,82,5
4.172,17,81,5
4.172,18,87,5
4.172,19,99,5
4.172,20,96,5
4.172,21,94,5
4.172,22,95,5
4.172,23,93,5
4.172,24,86,5
4.172,25,88,5
4.175,0,82,5
4.175,1,79,4
4.175,2,81,5
4.175,3,84,5
4.175,4,80,4
4.175,5,68,4
4.175,6,63,4
4.175,7,64,4
4.175,8,66,4
4.175,9,75,4
4.175,10,72,4
4.175,11,75,4
4.175,12,53,3
4.175,13,53,3
4.175,14,46,3
4.175,15,50,3
4.175,16,47,3
4.175,17,39,2
4.175,18,52,3
5.1,0,58,3
5.1,1,37,2
5.1,2,36,2
5.1,3,29,2
5.1,4,36,2
5.1,5,61,4
5.1,6,54,3
5.1,7,30,2
5.1,8,52,3
5.1,9,51,3
5.1,10,45,3
5.1,11,47,3
5.1,12,47,3
5.1,13,65,4
5.1,14,37,2
5.1,15,12,1
5.1,16,16,1
5.1,17,19,1
5.1,18,36,2
5.1,19,57,3
5.1,20,44,3
5.1,21,64,4
5.1,22,54,3
5.1,23,49,3
5.1,24,15,1
5.1,25,50,3
5.1,26,44,3
5.1,27,37,2
5.1,28,41,3
5.3,0,72,4
5.3,1,56,3
5.3,2,65,4
5.3,3,42,3
5.3,4,54,3
5.3,5,49,3
5.3,6,68,4
5.3,7,71,4
5.3,8,63,4
5.3,9,85,5
5.3,10,65,4
5.3,11,62,4
5.3,12,54,3
5.3,13,77,4
5.3,14,70,4
5.3,15,68,4
5.3,17,49,3
5.3,19,36,2
5.3,21,43,3
5.3,23,74,4
5.3,25,68,4
5.3,27,72,4
5.3,29,72,4
5.5,0,34,2
5.5,1,65,4
5.5,2,68,4
5.5,3,61,4
5.5,4,60,3
5.5,5,63,4
5.5,6,65,4
5.5,7,71,4
5.5,10,22,2
5.5,11,55,3
5.5,13,37,2
5.5,15,42,3
5.5,17,66,4
5.5,19,36,2
5.5,21,44,3
5.5,23,13,1
5.5,25,32,2
5.171,0,14,1
5.171,1,34,2
5.171,2,28,2
5.171,3,30,2
5.171,4,46,3
5.171,5,41,3
5.171,6,33,2
5.171,7,37,2
5.171,8,29,2
5.171,9,32,2
5.171,10,16,1
6.1,0,57,3
6.1,1,94,5
6.1,2,92,5
6.1,3,86,5
6.1,4,97,5
6.1,5,71,4
6.1,6,93,5
6.1,7,97,5
6.1,8,75,4
6.1,9,97,5
6.1,10,97,5
6.1,11,89,5
6.1,12,45,3
6.1,13,3,1
6.1,14,53,3
6.1,15,3,1
6.1,16,40,3
6.1,17,40,3
6.1,18,12,1
6.1,19,71,4
6.1,20,0,1
6.1,21,46,3
6.1,22,60,3
6.1,23,57,3
6.1,24,70,4
6.1,25,68,4
6.1,26,0,1
6.1,27,67,4
6.1,28,75,4
6.1,29,76,4
6.1,30,92,5
6.1,31,28,2
6.1,32,94,5
6.1,33,42,3
6.1,35,39,2
6.6,0,67,4
6.6,1,54,3
6.6,2,48,3
6.6,3,98,5
6.6,4,99,5
6.6,5,98,5
6.6,6,81,5
6.6,7,94,5
6.6,8,98,5
6.6,9,92,5
6.6,10,95,5
6.6,11,96,5
6.6,12,98,5
6.6,13,79,4
6.6,14,94,5
6.6,15,91,5
6.6,16,94,5
6.6,17,92,5
6.6,18,99,5
6.6,19,99,5
6.6,21,95,5
6.6,22,77,4
6.6,23,90,5
6.6,25,96,5
6.6,27,94,5
6.6,29,88,5
6.6,31,87,5
6.6,33,96,5
6.6,35,97,5
6.6,37,97,5
6.170,0,65,4
6.170,1,77,4
6.170,2,66,4
6.170,3,60,3
6.170,4,71,4
6.170,5,80,5
6.170,6,81,5
6.170,7,86,5
6.170,8,99,5
6.170,9,88,5
6.170,10,89,5
6.170,11,84,5
6.170,12,80,5
6.170,13,90,5
6.170,14,91,5
6.170,15,91,5
6.170,16,93,5
6.170,17,91,5
6.170,18,89,5
6.170,19,86,5
6.170,20,88,5
6.170,21,81,5
6.170,22,76,4
6.170,23,85,5
6.170,24,87,5
6.170,25,73,4
6.170,26,81,5
6.170,27,69,4
6.170,28,77,4
6.170,29,56,3
6.170,30,82,5
6.170,31,64,4
6.170,32,56,3
6.170,34,51,3
6.170,36,46,3
6.170,38,59,3
6.170,40,65,4
6.170,42,61,4
6.170,44,48,3
6.170,46,54,3
6.174,0,63,4
6.174,1,75,4
6.174,2,53,3
6.174,3,75,4
6.174,4,78,4
6.174,5,83,5
6.174,7,78,4
6.174,9,79,4
6.174,11,88,5
6.174,13,91,5
6.174,15,92,5
6.174,17,97,5
6.174,19,96,5
7.1,0,61,4
7.1,1,52,3
7.1,2,46,3
7.1,3,52,3
7.1,4,75,4
7.1,5,50,3
7.1,6,55,3
7.1,7,50,3
7.1,8,46,3
7.1,9,43,3
7.1,10,44,3
7.1,11,45,3
7.1,12,37,2
7.1,13,28,2
7.1,14,19,1
7.1,15,21,2
7.1,16,21,2
7.1,17,21,2
7.1,18,22,2
7.1,19,16,1
7.3,0,49,3
7.3,1,9,1
7.3,2,24,2
7.3,3,7,1
7.3,4,7,1
7.3,5,7,1
7.3,6,7,1
7.3,7,11,1
7.3,8,0,1
7.3,9,29,2
7.3,10,40,3
7.3,11,41,3
7.3,12,37,2
7.3,13,49,3
7.3,14,76,4
7.3,15,52,3
7.3,16,96,5
7.3,17,73,4
7.3,19,36,2
7.3,20,33,2
7.3,21,28,2
7.3,23,6,1
7.3,25,47,3
7.3,27,44,3
7.3,29,41,3
7.3,31,48,3
7.3,33,11,1
7.3,35,7,1
7.3,37,5,1
7.5,0,12,1
7.5,1,12,1
7.5,2,13,1
7.5,3,13,1
7.5,4,14,1
7.5,5,14,1
7.5,6,15,1
7.5,7,16,1
7.5,8,18,1
7.5,9,15,1
7.5,10,18,1
7.5,11,6,1
7.5,12,6,1
7.5,13,24,2
7.5,14,13,1
7.5,15,22,2
7.5,16,22,2
7.5,17,5,1
7.5,18,10,1
7.5,19,5,1
7.5,20,35,2
7.5,22,23,2
7.5,24,33,2
7.5,26,44,3
7.5,28,31,2
7.5,30,46,3
7.5,32,37,2
7.184,0,39,2
7.184,1,1,1
7.184,2,36,2
7.184,4,16,1
7.184,6,8,1
7.184,8,36,2
7.184,10,52,3
7.184,12,41,3
7.184,14,15,1
7.184,16,22,2
7.184,18,14,1
10.1,0,66,4
10.1,1,61,4
10.1,2,65,4
10.1,3,60,4
10.1,4,95,5
10.1,5,83,5
10.1,6,72,4
10.1,7,84,5
10.1,8,69,4
10.1,9,65,4
10.1,10,59,3
10.1,11,48,3
10.1,12,42,3
10.1,13,55,3
10.1,14,48,3
10.1,15,50,3
10.1,16,44,3
10.1,17,48,3
10.1,18,44,3
10.1,19,58,3
10.1,20,44,3
10.1,21,50,3
10.1,22,50,3
10.1,23,60,3
10.1,24,60,3
10.1,25,52,3
10.1,26,17,1
10.1,27,50,3
10.1,28,22,2
10.1,29,29,2
10.1,30,28,2
10.1,31,11,1
10.5,0,85,5
10.5,1,1,1
10.5,2,49,3
10.5,3,58,3
10.5,4,64,4
10.5,5,48,3
10.5,6,71,4
10.5,7,29,2
10.5,8,70,4
10.5,9,16,1
10.6,0,30,2
10.6,1,2,1
10.6,8,7,1
10.6,9,21,2
10.6,10,8,1
10.6,11,16,1
10.6,12,7,1
10.6,13,12,1
10.6,15,4,1
10.6,17,32,2
10.6,19,36,2
10.6,21,33,2
10.6,23,36,2
10.6,25,48,3
10.6,27,37,2
10.21,0,84,5
10.21,1,70,4
10.21,2,68,4
